Category,Product,Price($)
FruitJuice,"Capri Sun Variety Pack with Fruit Punch, Strawberry Kiwi & Pacific Cooler Juice Box Pouches, 30 ct Box, 6 fl oz Pouches",9.43
FruitDrinks,"Kool Aid Jammers Variety Pack with Tropical Punch, Grape & Cherry Kids Drink 0% Juice Box Pouches, 30 Ct Box, 6 fl oz Pouches",7.27
BabyMilkandMilkFlavoring,"Horizon Organic Shelf-Stable Whole Milk Boxes, 8 oz., 12 Pack",13.98
Soup,"Maruchan Ramen Noodle Chicken Flavor Soup, 3 Oz, 12 Count Shelf Stable Package",9.97
CatFood-WetType,Purina Fancy Feast Chicken Feast Classic Grain Free Wet Cat Food Pate - 3 oz. Can,0.88
PetSupplies-DogFood,"Purina Dog Chow Complete, Dry Dog Food for Adult Dogs High Protein, Real Chicken, 44 lb Bag",29.17
Snacks-PotatoChips,"Lay¡¯s Classic Potato Snack Chips, Party Size, 13 oz Bag",5.44
Snacks-TortillaChips,"Doritos Nacho Cheese Tortilla Snack Chips, Party Size, 14.5 oz Bag",5.94
Cereal-ReadytoEat,"Cinnamon Toast Crunch Breakfast Cereal, Crispy Cinnamon Cereal, Family Size, 18.8 oz",4.93
Cookies,"Little Debbie Oatmeal Creme Pies, 12 ct, 16.2 oz",2.68
GroundandWholeBeanCoffee,"Folgers Classic Roast Ground Coffee, Medium Roast, 40.3-Ounce Canister",13.24
SoftDrinks-Carbonated,"Coca-Cola Soda Pop, 12 fl oz, 12 Pack Cans",8.26
BottledWater,"OZARKA Brand 100% Natural Spring Water, 16.9-ounce plastic bottles (Pack of 35)",19.96
Candy-Chocolate,"Hershey¡¯s Milk Chocolate Candy, Bars 1.55 oz, 6 Count",6.48
Candy-Non-Chocolate,"HARIBO Goldbears Original Gummy Bears, 28.8 oz Stand Up Bag",6.48
SoftDrinks-LowCalorie,"Coca-Cola Zero Sugar Soda Pop, 16.9 fl oz, 6 Pack Cans",5.18
FrozenItalianEntrees,"Smart Ones Three Cheese Ziti Marinara Frozen Meal, 9 Oz Box",2.26
FrozenFoods,"Great Value All Natural Chicken Wing Sections, 4 lb (Frozen)",12.98
IceCream,"Haagen Dazs Coffee Ice Cream, Gluten Free, Kosher, 14.0 oz",4.18
FrozenNovelties,"Pop-Ice Assorted Fruit Freezer Ice Pops, Gluten-Free Snack, 1.5 oz, 80 Count Fruit Pops",6.17
Lunchmeat-Sliced-Refrigerated,"Oscar Mayer Chopped Ham & Water product Deli Lunch Meat, 16 Oz Package",4.33
Frankfurters-Refrigerated,"Oscar Mayer Classic Uncured Beef Franks Hot Dogs, 10 ct Pack",3.94
RefrigeratedBacon,"Oscar Mayer Fully Cooked Original Bacon, 2.52 oz Box",4.27
RefrigeratedEntrees,"John Soules Foods Chicken Breast Fajita Strips, Refrigerated, 16 oz, 18 g Protein per 3 oz Serving Size",5.98
DairyProducts,"Land O Lakes Salted Stick Butter, 16 oz, 4 Sticks",5.28
Yogurt-Refrigerated,"Chobani Non-Fat Greek Yogurt, Vanilla Blended 32 oz, Plastic",5.58
RefrigeratedDeliMeats,Goya Cooked Ham 16 oz,29.99
Dairy-Milk-Refrigerated,Great Value Milk Whole Vitamin D Gallon,3.92
Bakery-FreshCakes,"Little Debbie Zebra Cakes, 13 oz",2.68
FreshEggs,"Eggland¡¯s Best Classic Extra Large White Eggs, 12 count",3.18
FreshFruit,"Fresh Raspberries, 12 oz Container",4.74
Beer,"Stella Artois Lager, 12 Pack, 11.2 fl oz Glass Bottles, 5% ABV, Domestic Beer",15.73
LightBeer(LowCalorie/Alcohol),"Bud Light Beer, 24 Pack, 12 fl oz Aluminum Cans, 4.2% ABV, Domestic Lager",20.98
Detergents-HeavyDuty-Liquid,"Purex Liquid Laundry Detergent Plus OXI, Stain Defense Technology, 128 Fluid Ounces, 85 Wash Loads",9.97
CleaningSupplies,"ARM & HAMMER Pure Baking Soda, For Baking, Cleaning & Deodorizing, 1 lb Box",1.54
ToiletTissue,"Angel Soft Toilet Paper, 9 Mega Rolls, Soft and Strong Toilet Tissue",6.68
PaperTowels,"Bounty Select-a-Size Paper Towels, 12 Double Rolls, White",22.18
Batteries,"Duracell Coppertop AA Battery, Long Lasting Double A Batteries, 16 Pack",15.97
PainRemedies-Headache,"Tylenol Extra Strength Caplets with 500 mg Acetaminophen, 100 Ct",10.97
ColdRemedies-Adult,"Equate Value Size Honey Lemon Cough Drops with Menthol, 160 Count",4.68
